45.5492,0.694848,0.836556,0.526336,0.0937136,
47.3483,0.743193,0.858159,0.518246,0.0907505,
47.815,0.757238,0.86547,0.586811,0.0881053,
47.9937,0.698949,0.828903,0.526043,0.10035,
46.2393,0.732697,0.847399,0.506768,0.0958174,
46.7528,0.757687,0.867059,0.520198,0.0876169,
44.3882,0.686071,0.821999,0.53729,0.101355,
48.6558,0.70506,0.834546,0.510366,0.0978996,
45.0673,0.718221,0.843304,0.5253,0.0950615,
47.5883,0.75482,0.87032,0.54849,0.084384,
46.4663,0.72394,0.848491,0.496987,0.0932032,
48.3872,0.811818,0.896113,0.549624,0.0759759,
43.7615,0.754404,0.868208,0.537347,0.0856094,
46.7099,0.724165,0.838369,0.506495,0.10071,
47.4416,0.687023,0.82483,0.491513,0.0996139,
45.3082,0.694055,0.827637,0.506577,0.0994207,
44.6581,0.720758,0.841742,0.535688,0.0971771,
45.4409,0.73807,0.853748,0.486737,0.0927307,
45.3732,0.757007,0.865748,0.535157,0.0883381,
48.416,0.729771,0.847658,0.508422,0.0953006,
45.3509,0.72135,0.837967,0.531145,0.100029,
48.2568,0.72619,0.846962,0.481854,0.0950209,
45.2119,0.739507,0.854139,0.517074,0.0930955,
44.9803,0.723019,0.846614,0.513481,0.0936394,
47.3293,0.779364,0.876368,0.528195,0.08514,
48.1289,0.709482,0.84419,0.532069,0.0921112,
45.8042,0.775002,0.87948,0.574313,0.0813918,
44.9625,0.757737,0.857427,0.512101,0.0951176,
46.5867,0.727356,0.843655,0.516578,0.0971706,
47.0757,0.729444,0.845136,0.509931,0.097038,
